handle,title,sku_code,size,dose_mg,new_sku,old_sku,price_usd
bpc-157,BPC-157,BPC,5mg,5,CL-BPC-0005,BLUUM-BPC-157-5MG,$40.00
bpc-157,BPC-157,BPC,10mg,10,CL-BPC-0010,BLUUM-BPC-157-10MG,$40.00
bpc-157,BPC-157,BPC,20mg,20,CL-BPC-0020,BLUUM-BPC-157-20MG,$40.00
th9507,TH9507,TH9,2mg,2,CL-TH9-0002,BLUUM-TH9507-2MG,$20.00
th9507,TH9507,TH9,5mg,5,CL-TH9-0005,BLUUM-TH9507-5MG,$20.00
th9507,TH9507,TH9,10mg,10,CL-TH9-0010,BLUUM-TH9507-10MG,$20.00
ipamorelin,Ipamorelin,IPM,10mg,10,CL-IPM-0010,BLUUM-IPAMORELIN-10MG,$50.00
tb-500,TB-500,TB5,5mg,5,CL-TB5-0005,BLUUM-TB-500-5MG,$45.00
tb-500,TB-500,TB5,10mg,10,CL-TB5-0010,BLUUM-TB-500-10MG,$45.00
ghk-cu,GHK-Cu,GHK,50mg,50,CL-GHK-0050,BLUUM-GHK-CU-50MG,$40.00
ghk-cu,GHK-Cu,GHK,100mg,100,CL-GHK-0100,BLUUM-GHK-CU-100MG,$40.00
pt-141,PT-141,PT1,10mg,10,CL-PT1-0010,BLUUM-PT-141-10MG,$40.00
glutathione,Glutathione,GLU,200mg,200,CL-GLU-0200,BLUUM-GLUTATHIONE-200MG,$40.00
glutathione,Glutathione,GLU,1500mg,1500,CL-GLU-1500,BLUUM-GLUTATHIONE-1500MG,$40.00
glow,GLOW,GLW,70mg,70,CL-GLW-0070,BLUUM-GLOW-70MG,$90.00
klow,KLOW,KLW,80mg,80,CL-KLW-0080,BLUUM-KLOW-80MG,$110.00
bpc-157-tb-500-blend,BPC-157 / TB-500 Blend,BTB,5mg/5mg,5,CL-BTB-0005,BLUUM-BPC-157-TB-500-BLEND-5MG-5MG,$100.00
nad,NAD+,NAD,500mg,500,CL-NAD-0500,BLUUM-NAD-500MG,$60.00
snap-8,Snap-8,SN8,10mg,10,CL-SN8-0010,BLUUM-SNAP-8-10MG,$30.00
selank,Selank,SEL,10mg,10,CL-SEL-0010,BLUUM-SELANK-10MG,$32.00
cagrilintide,Cagrilintide,CAG,5mg,5,CL-CAG-0005,BLUUM-CAGRILINTIDE-5MG,$70.00
cagrilintide,Cagrilintide,CAG,10mg,10,CL-CAG-0010,BLUUM-CAGRILINTIDE-10MG,$70.00
thymosin-alpha-1,Thymosin Alpha-1,TA1,5mg,5,CL-TA1-0005,BLUUM-THYMOSIN-ALPHA-1-5MG,$40.00
igf-1-lr3,IGF-1 LR3,IGF,1mg,1,CL-IGF-0001,BLUUM-IGF-1-LR3-1MG,$75.00
hexarelin,Hexarelin,HEX,5mg,5,CL-HEX-0005,BLUUM-HEXARELIN-5MG,$45.00
cjc-1295-no-dac,CJC-1295 No DAC,CJC,10mg,10,CL-CJC-0010,BLUUM-CJC-1295-NO-DAC-10MG,$65.00
sermorelin,Sermorelin,SER,2mg,2,CL-SER-0002,BLUUM-SERMORELIN-2MG,$30.00
sermorelin,Sermorelin,SER,5mg,5,CL-SER-0005,BLUUM-SERMORELIN-5MG,$30.00
ghrp-2,GHRP-2,GH2,5mg,5,CL-GH2-0005,BLUUM-GHRP-2-5MG,$28.00
ghrp-6,GHRP-6,GH6,10mg,10,CL-GH6-0010,BLUUM-GHRP-6-10MG,$34.00
retatrutide,Retatrutide,RET,15mg,15,CL-RET-0015,BLUUM-RETATRUTIDE-15MG,$150.00
retatrutide,Retatrutide,RET,30mg,30,CL-RET-0030,BLUUM-RETATRUTIDE-30MG,$150.00
melanotan-i,Melanotan I,MT1,10mg,10,CL-MT1-0010,BLUUM-MELANOTAN-I-10MG,$38.00
melanotan-ii,Melanotan II,MT2,10mg,10,CL-MT2-0010,BLUUM-MELANOTAN-II-10MG,$38.00
mazdutide,Mazdutide,MAZ,5mg,5,CL-MAZ-0005,BLUUM-MAZDUTIDE-5MG,$80.00
mazdutide,Mazdutide,MAZ,10mg,10,CL-MAZ-0010,BLUUM-MAZDUTIDE-10MG,$80.00
semax,Semax,SMX,10mg,10,CL-SMX-0010,BLUUM-SEMAX-10MG,$50.00
dsip,DSIP,DSP,5mg,5,CL-DSP-0005,BLUUM-DSIP-5MG,$40.00
epithalon,Epithalon,EPI,50mg,50,CL-EPI-0050,BLUUM-EPITHALON-50MG,$100.00
ahk-cu,AHK-Cu,AHK,100mg,100,CL-AHK-0100,BLUUM-AHK-CU-100MG,$55.00
mots-c,MOTS-C,MOT,40mg,40,CL-MOT-0040,BLUUM-MOTS-C-40MG,$100.00
pinealon,Pinealon,PIN,20mg,20,CL-PIN-0020,BLUUM-PINEALON-20MG,$72.00
5-amino-1mq,5-Amino-1MQ,5MQ,50mg,50,CL-5MQ-0050,BLUUM-5-AMINO-1MQ-50MG,$65.00
cjc-1295-no-dac-ipamorelin-blend,CJC-1295 No DAC / Ipamorelin Blend,CJI,5mg/5mg,5,CL-CJI-0005,BLUUM-CJC-1295-NO-DAC-IPAMORELIN-BLEND-5MG-5MG,$75.00
